famiglia,L_D,phi_gradi,Nq_immagine,x_pixel,y_pixel,impiego
grande,4,39.89999999999995,59.762247838616716,976.9749999999966,238.5,controllo
grande,4,40.09999999999995,61.05907780979827,990.0249999999968,220.5,fit
grande,4,40.299999999999955,62.35590778097983,1003.0749999999971,202.5,controllo
grande,4,40.49999999999995,63.72478386167147,1016.1249999999967,183.5,fit
grande,4,40.699999999999946,65.09365994236312,1029.1749999999965,164.5,controllo
grande,4,40.89999999999995,66.46253602305475,1042.2249999999967,145.5,fit
grande,4,41.09999999999995,67.8314121037464,1055.274999999997,126.5,controllo
grande,4,41.29999999999995,69.12824207492795,1068.3249999999966,108.5,fit
grande,4,41.49999999999994,70.4250720461095,1081.3749999999964,90.5,controllo
grande,4,41.699999999999946,71.86599423631124,1094.4249999999965,70.5,fit
grande,4,41.89999999999995,73.16282420749279,1107.4749999999967,52.5,controllo
grande,32,26.1,9.04178674351585,76.52500000000009,942.5,fit
grande,32,26.3,9.36599423631124,89.57500000000005,938.0,controllo
grande,32,26.5,9.654178674351584,102.625,934.0,fit
grande,32,26.7,10.014409221902017,115.67499999999995,929.0,controllo
grande,32,26.9,10.26657060518732,128.7249999999999,925.5,fit
grande,32,27.099999999999998,10.626801152737752,141.77499999999986,920.5,controllo
grande,32,27.299999999999997,10.878962536023055,154.82499999999982,917.0,fit
grande,32,27.499999999999996,11.239193083573488,167.87499999999977,912.0,controllo
grande,32,27.699999999999996,11.527377521613833,180.92499999999973,908.0,fit
grande,32,27.899999999999995,11.851585014409222,193.97499999999968,903.5,controllo
grande,32,28.099999999999994,12.139769452449567,207.02499999999964,899.5,fit
grande,32,28.299999999999994,12.463976945244957,220.0749999999996,895.0,controllo
grande,32,28.499999999999993,12.752161383285303,233.12499999999955,891.0,fit
grande,32,28.699999999999992,13.040345821325648,246.1749999999995,887.0,controllo
grande,32,28.89999999999999,13.40057636887608,259.22499999999945,882.0,fit
grande,32,29.09999999999999,13.652737752161384,272.2749999999994,878.5,controllo
grande,32,29.29999999999999,14.012968299711815,285.32499999999936,873.5,fit
grande,32,29.49999999999999,14.265129682997118,298.3749999999993,870.0,controllo
grande,32,29.69999999999999,14.62536023054755,311.4249999999993,865.0,fit
grande,32,29.899999999999988,14.877521613832853,324.4749999999992,861.5,controllo
grande,32,30.099999999999987,15.237752161383286,337.5249999999992,856.5,fit
grande,32,30.299999999999986,15.489913544668587,350.57499999999914,853.0,controllo
grande,32,30.499999999999986,15.74207492795389,363.6249999999991,849.5,fit
grande,32,30.699999999999985,16.06628242074928,376.67499999999905,845.0,controllo
grande,32,30.899999999999984,16.354466858789625,389.724999999999,841.0,fit
grande,32,31.099999999999984,16.714697406340058,402.77499999999895,836.0,controllo
grande,32,31.299999999999983,17.07492795389049,415.8249999999989,831.0,fit
grande,32,31.499999999999982,17.39913544668588,428.87499999999886,826.5,controllo
grande,32,31.69999999999998,17.8314121037464,441.9249999999988,820.5,fit
grande,32,31.89999999999998,18.227665706051873,454.9749999999988,815.0,controllo
grande,32,32.09999999999998,18.623919308357348,468.0249999999987,809.5,fit
grande,32,32.29999999999998,19.056195965417867,481.0749999999989,803.5,controllo
grande,32,32.49999999999998,19.488472622478387,494.12499999999864,797.5,fit
grande,32,32.699999999999974,19.920749279538907,507.1749999999983,791.5,controllo
grande,32,32.89999999999998,20.461095100864554,520.2249999999985,784.0,fit
grande,32,33.09999999999998,20.89337175792507,533.2749999999987,778.0,controllo
grande,32,33.299999999999976,21.50576368876081,546.3249999999985,769.5,fit
grande,32,33.49999999999997,22.046109510086456,559.3749999999982,762.0,controllo
grande,32,33.699999999999974,22.55043227665706,572.4249999999984,755.0,fit
grande,32,33.89999999999998,23.162824207492797,585.4749999999985,746.5,controllo
grande,32,34.09999999999997,23.77521613832853,598.5249999999983,738.0,fit
grande,32,34.29999999999997,24.387608069164266,611.574999999998,729.5,controllo
grande,32,34.699999999999974,25.64841498559078,637.6749999999984,712.0,fit
grande,32,34.89999999999997,26.368876080691642,650.7249999999981,702.0,controllo
grande,32,35.099999999999966,27.053314121037463,663.7749999999978,692.5,fit
grande,32,35.29999999999997,27.845821325648416,676.824999999998,681.5,controllo
grande,32,35.49999999999997,28.56628242074928,689.8749999999982,671.5,fit
grande,32,35.69999999999997,29.322766570605186,702.9249999999979,661.0,controllo
grande,32,35.89999999999996,30.15129682997118,715.9749999999976,649.5,fit
grande,32,36.099999999999966,31.01585014409222,729.0249999999978,637.5,controllo
grande,32,36.29999999999997,31.880403458213255,742.074999999998,625.5,fit
grande,32,36.499999999999964,32.78097982708934,755.1249999999977,613.0,controllo
grande,32,36.69999999999996,33.64553314121037,768.1749999999975,601.0,fit
grande,32,36.89999999999996,34.54610951008645,781.2249999999976,588.5,controllo
grande,32,37.099999999999966,35.59077809798271,794.2749999999978,574.0,fit
grande,32,37.29999999999996,36.63544668587896,807.3249999999975,559.5,controllo
grande,32,37.49999999999996,37.64409221902017,820.3749999999973,545.5,fit
grande,32,37.69999999999996,38.72478386167147,833.4249999999975,530.5,controllo
grande,32,37.89999999999996,39.913544668587896,846.4749999999976,514.0,fit
grande,32,38.09999999999996,41.31844380403458,859.5249999999974,494.5,controllo
grande,32,38.299999999999955,42.68731988472622,872.5749999999971,475.5,fit
grande,32,38.49999999999996,44.128242074927954,885.6249999999973,455.5,controllo
grande,32,38.69999999999996,45.461095100864554,898.6749999999975,437.0,fit
grande,32,38.899999999999956,46.90201729106628,911.7249999999972,417.0,controllo
grande,32,39.09999999999995,48.30691642651297,924.7749999999968,397.5,fit
grande,32,39.299999999999955,49.56772334293948,937.8249999999971,380.0,controllo
grande,32,39.49999999999996,50.972622478386164,950.8749999999973,360.5,fit
grande,32,39.69999999999995,52.26945244956772,963.9249999999969,342.5,controllo
grande,32,39.89999999999995,53.53025936599423,976.9749999999966,325.0,fit
grande,32,40.09999999999995,54.79106628242075,990.0249999999968,307.5,controllo
grande,32,40.299999999999955,56.0878962536023,1003.0749999999971,289.5,fit
grande,32,40.49999999999995,57.38472622478386,1016.1249999999967,271.5,controllo
grande,32,40.699999999999946,58.68155619596542,1029.1749999999965,253.5,fit
grande,32,40.89999999999995,59.97838616714697,1042.2249999999967,235.5,controllo
grande,32,41.09999999999995,61.27521613832853,1055.274999999997,217.5,fit
grande,32,41.29999999999995,62.57204610951008,1068.3249999999966,199.5,controllo
grande,32,41.49999999999994,63.8328530259366,1081.3749999999964,182.0,fit
grande,32,41.699999999999946,65.1657060518732,1094.4249999999965,163.5,controllo
grande,32,41.89999999999995,66.42651296829972,1107.4749999999967,146.0,fit
